KX522573:Mamastrovirus 1 isolate ZJ1370873 nonstructural protein (ORF1) gene, partial cds
KX522572:Mamastrovirus 1 isolate ZJ1370867 nonstructural protein (ORF1) gene, partial cds
KX522571:Mamastrovirus 1 isolate ZJ1370851 nonstructural protein (ORF1) gene, partial cds
KX522570:Mamastrovirus 1 isolate ZJ1370826 nonstructural protein (ORF1) gene, partial cds
KX522569:Mamastrovirus 1 isolate ZJ1370741 nonstructural protein (ORF1) gene, partial cds
KX522568:Mamastrovirus 1 isolate ZJ1370721 nonstructural protein (ORF1) gene, partial cds
KX522567:Mamastrovirus 1 isolate ZJ1370711 nonstructural protein (ORF1) gene, partial cds
KX522566:Mamastrovirus 1 isolate ZJ1370701 nonstructural protein (ORF1) gene, partial cds
KR364729:Human astrovirus 1 isolate ZJ1370646 nonstructural protein (ORF1) gene, partial cds
KR364728:Human astrovirus 8 isolate ZJ1370581 nonstructural protein (ORF1) gene, partial cds
KR364727:Human astrovirus 1 isolate ZJ1370557 nonstructural protein (ORF1) gene, partial cds
KP090043:Human astrovirus 1 isolate ZJ1370325 nonstructural protein gene, partial cds
KP090042:Human astrovirus 1 isolate ZJ1370319 nonstructural protein gene, partial cds
KP090041:Human astrovirus 5 isolate ZJ1370278 nonstructural protein gene, partial cds
KP090040:Human astrovirus 1 isolate ZJ1370235 nonstructural protein gene, partial cds
KP090039:Human astrovirus 1 isolate ZJ1370297 nonstructural protein gene, partial cds
KP090038:Human astrovirus 1 isolate ZJ1370164 nonstructural protein gene, partial cds
KP090037:Human astrovirus 5 isolate ZJ1370162 nonstructural protein gene, partial cds
KP090036:Human astrovirus 5 isolate ZJ1370092 nonstructural protein gene, partial cds
KP090035:Human astrovirus 1 isolate ZJ1370083 nonstructural protein gene, partial cds
