Accession	country	host	collection_year	isolate	virus name(10.1093/ve/veaf006)	species_binomial
KP404150	GBR	dog	2012	NA	MAstV5	Mamastrovirus canis
KX599350	HUN	dog	2012	NA	MAstV5	Mamastrovirus canis
KX756441	AUS	dog	2012	DD1	MAstV5	Mamastrovirus canis
KY765684	BRA	crab-eating-fox	2015	NA	MAstV5	Mamastrovirus canis
MF973500	CHN	dog	NA	NA	MAstV5	Mamastrovirus canis
MF973501	CHN	dog	NA	NA	MAstV5	Mamastrovirus canis
MK026166	AUS	dog	2017	DF-BC15-CAV-AUS-2017	MAstV5	Mamastrovirus canis
MN881999	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882001	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882002	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882003	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882004	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882005	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882006	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882007	CHN	dog	2018	NA	MAstV5	Mamastrovirus canis
MN882008	CHN	dog	2018	NA	MAstV5	Mamastrovirus canis
MN882009	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MN882010	CHN	dog	2019	NA	MAstV5	Mamastrovirus canis
MT078247	USA	dog	2017	MN1-USA-ORF-2017	MAstV5	Mamastrovirus canis
MT078248	USA	dog	2017	MN2-USA-2017	MAstV5	Mamastrovirus canis
MT894143	IND	dog	NA	PVNRTVU2020	MAstV5	Mamastrovirus canis
NC_026814	GBR	dog	2012	NA	MAstV5	Mamastrovirus canis
ON733251	HUN	dog	2021	NA	MAstV5	Mamastrovirus canis
OP093957	BRA	dog	2019	PK03	MAstV5	Mamastrovirus canis
OP093958	BRA	dog	2019	PK01	MAstV5	Mamastrovirus canis
KF374704	PRT	cat	2012	Viseu	MAstV2	Mamastrovirus felis
KM017743	USA	cat	2013	FAstV-D3	MAstV2	Mamastrovirus felis
MK671306	CHN	cat	2017	MAV2-17CC0308	MAstV2	Mamastrovirus felis
MK671307	CHN	cat	2017	MAV2-17HRB0511	MAstV2	Mamastrovirus felis
MK671308	CHN	cat	2017	MAV2-17JL0318	MAstV2	Mamastrovirus felis
MK671309	CHN	cat	2017	MAV2-17SP0801	MAstV2	Mamastrovirus felis
MK671310	CHN	cat	2018	MAV2-18CC0502	MAstV2	Mamastrovirus felis
MK671311	CHN	cat	2018	MAV2-18JL0310	MAstV2	Mamastrovirus felis
MK671312	CHN	cat	2018	MAV2-18JL0705	MAstV2	Mamastrovirus felis
MK671313	CHN	cat	2018	MAV2-18SY0803	MAstV2	Mamastrovirus felis
MN148428	CHN	tiger	2018	NA	MAstV2	Mamastrovirus felis
MW037841	AUS	cat	2018	NA	MAstV2	Mamastrovirus felis
MW164633	CAN	cat	2020	BC-SPCA	MAstV2	Mamastrovirus felis
NC_022249	HKG	cat	2012	NA	MAstV2	Mamastrovirus felis
ON595824	AUS	cat	2017	FPV-1	MAstV2	Mamastrovirus felis
ON595825	AUS	cat	2016	FPV-2	MAstV2	Mamastrovirus felis
ON595826	AUS	cat	2017	FPV-3	MAstV2	Mamastrovirus felis
ON595827	AUS	cat	2017	FPV-4	MAstV2	Mamastrovirus felis
ON595829	AUS	cat	2017	FPV-6	MAstV2	Mamastrovirus felis
ON595830	AUS	cat	2016	FPV-8	MAstV2	Mamastrovirus felis
ON595831	AUS	cat	2017	FPV-10	MAstV2	Mamastrovirus felis
AF260508	NA	human	NA	NA	MAstV1	Mamastrovirus hominis
AY720891	NA	human	NA	NA	MAstV1	Mamastrovirus hominis
AY720892	NA	human	NA	NA	MAstV1	Mamastrovirus hominis
DQ028633	BRA	human	NA	Goiania-GO-12-94-Brazil	MAstV1	Mamastrovirus hominis
DQ070852	BRA	human	NA	Goiania-GO-12-95-Brazil	MAstV1	Mamastrovirus hominis
DQ344027	CHN	human	NA	Guangzhou	MAstV1	Mamastrovirus hominis
FJ755402	CHN	human	2005	NA	MAstV1	Mamastrovirus hominis
FJ755403	CHN	human	2006	NA	MAstV1	Mamastrovirus hominis
FJ755404	CHN	human	2007	NA	MAstV1	Mamastrovirus hominis
FJ755405	CHN	human	2007	NA	MAstV1	Mamastrovirus hominis
GQ495608	CHN	human	2007	192-BJ07-CHN	MAstV1	Mamastrovirus hominis
GQ901902	RUS	human	2009	Rus-Nsc09-B4	MAstV1	Mamastrovirus hominis
