raw,cleaned
chicken,Gallus gallus
goose,Anser anser
cow,Bos taurus
buffalo,Bubalus bubalis
lion head goose,Anser cygnoides
Ducklings,Anas platyrhynchos
goslings,Anser anser
Peking duckling,Anas platyrhynchos
Muscovy duck,Cairina moschata
pig,Sus scrofa
swine,Sus scrofa
domestic pig,Sus scrofa
wild boar,Sus scrofa
goat,Capra hircus
sheep,Ovis aries
dog,Canis lupus familiaris
cat,Felis catus
domestic cat,Felis catus
rabbit,Oryctolagus cuniculus
mouse,Mus musculus
mice,Mus musculus
rat,Rattus norvegicus
piglet,Sus scrofa
calf,Bos taurus
lamb,Ovis aries
puppy,Canis lupus familiaris
ferret,Mustela putorius furo
mink,Neogale vison
turkey,Meleagris gallopavo
pigeon,Columba livia
feral pigeon,Columba livia
racing pigeon,Columba livia
carrier pigeon,Columba livia
wood pigeon,Columba palumbus
goose embryo,Anser anser
landaise,Anser anser
Lande geese,Anser anser
Hortobagy goose,Anser anser
Jiangnan White Goose,Anser cygnoides
Lingxian White Goose,Anser cygnoides
Beijing duck,Anas platyrhynchos
Pekin duck,Anas platyrhynchos
Ma duck,Anas platyrhynchos
Jinding ducks,Anas platyrhynchos
duck,Anas platyrhynchos
goose,Anser anser
guinea fowl,Numida meleagris
chicken (broiler),Gallus gallus
broiler chicken,Gallus gallus
commercial broiler chicken,Gallus gallus
laying hens,Gallus gallus
Gallus gallus gallus,Gallus gallus
Gallus gallus domesticus,Gallus gallus
Gallus gallus broiler chicken,Gallus gallus
Meleagris gallopavo domesticus,Meleagris gallopavo
turkey; young poult presenting PEMS,Meleagris gallopavo
water buffalo,Bubalus bubalis
Bactrian camel,Camelus bactrianus
dromedary,Camelus dromedarius
donkey,Equus asinus
horse,Equus caballus
roe deer,Capreolus capreolus
deer,Cervidae
red deer,Cervus elaphus
white-tailed deer,Odocoileus virginianus
raccoon dog,Nyctereutes procyonoides
coypu,Myocastor coypus
marmot,Marmota
Himalayan marmot,Marmota himalayana
porcupine,Hystrix
hoary bamboo rat,Rhizomys pruinosus
eurasian red squirrel,Sciurus vulgaris
masked palm civet,Paguma larvata
pallas's squirrel,Callosciurus erythraeus
amur tiger,Panthera tigris altaica
Ailurus fulgens,Ailurus fulgens
rodent,Rodentia
murine,Murinae
laboratory mouse,Mus musculus
home mice,Mus musculus
fish,Actinopterygii
shellfish,Mollusca
ticks,Ixodida
stool,environmental
environment,environmental
human,Homo sapiens
chimpanzee,Pan troglodytes
gorilla,Gorilla gorilla
bat,Chiroptera
Chiroptera sp.,Chiroptera
bird,Aves
avian,Aves
poultry,Aves
swine,Sus scrofa
porcine,Sus scrofa
bovine,Bos taurus
ovine,Ovis aries
caprine,Capra hircus
canine,Canis lupus familiaris
feline,Felis catus
crow,Corvus
Sichuan takin,Budorcas tibetana
steer,Bos taurus
red-necked avocet,Recurvirostra novaehollandiae
red knot,Calidris canutus
white eye,Zosteropidae
cattle,Bos taurus
commercial broiler,Gallus gallus
dairy cow,Bos taurus
domestic cat,Felis catus
domestic cat with diarrhea,Felis catus
domestic sheep,Ovis aries
duck,Anas platyrhynchos
environmental,environmental
goat,Capra hircus
gosling,Anser anser
grey squirrel,Sciurus
guinea pig,Cavia porcellus
health cat,Felis catus
hooded crow,Corvus cornix
house crow,Corvus splendens
rhinos,Rhinocerotidae
rook,Corvus frugilegus
sea lion,Otariidae
shorebird,Aves
spotted dove,Spilopelia chinensis
white eye,Zosteropidae
stool,stool
environment,environmental
yak,Bos grunniens
50-day-old Landes geese,Anser anser
us musculus,Mus musculus
red fox,Vulpes vulpes
Subantarctic skua,Stercorarius antarcticus
South Island pied oystercatcher,Haematopus finschi
Su. murinus,Suncus murinus
Oryctes sp.,Oryctes
Blenniella sp,Blenniella
Solanum melongena L.,Solanum melongena
Nyctaus noctula,Nyctalus noctula
Tadarida brasiliensis bat,Tadarida brasiliensis
Scotomannes kuhlii,Scotophilus kuhlii
Canine lupus familaris,Canis lupus
Pekin duckling,Anas platyrhynchos
