AB033998.1;Avian nephritis virus 1 genes for structural polyprotein, non-structural polyprotein, complete cds
AB264140.2;Mamastrovirus 1 ORF1, ORF2 genes for nonstructural protein, capsid protein, partial cds, specific primers: PRECAP[+], RB1R[-]
AB308374.1;Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347
AB325804.1;Mamastrovirus 1 ORF1 gene for nonstructural protein, complete cds, isolate: V1182
AY027809.1;Human astrovirus non-structural protein HA mRNA, partial cds
AY831433.1;Avian nephritis virus 1 isolate Beb1/02 non-structural polyprotein gene, partial cds
BK066576.1;MAG TPA_asm: Bunastrovirus betta10698 isolate Bunastro10698 genomic sequence
DQ327608.1;Avian nephritis virus 1 isolate Sza1/05 non-structural polyprotein gene, partial cds
DQ327609.1;Avian nephritis virus 1 isolate Sza2/05 non-structural polyprotein gene, partial cds
DQ327610.1;Avian nephritis virus 1 isolate Zal1/05 non-structural polyprotein gene, partial cds
DQ327611.1;Avian nephritis virus 1 isolate Laj1/03 non-structural polyprotein gene, partial cds
DQ327612.1;Avian nephritis virus 1 isolate Imr1/03 non-structural polyprotein gene, partial cds
DQ327613.1;Avian nephritis virus 1 isolate Imr2/03 non-structural polyprotein gene, partial cds
DQ327614.1;Avian nephritis virus 1 isolate Hos1/03 non-structural polyprotein gene, partial cds
DQ327615.1;Avian nephritis virus 1 isolate Boc1/03 non-structural polyprotein gene, partial cds
DQ327616.1;Avian nephritis virus 1 isolate Beb2/02 non-structural polyprotein gene, partial cds
DQ327617.1;Avian nephritis virus 1 isolate Kec1/03 non-structural polyprotein gene, partial cds
DQ327618.1;Avian nephritis virus 1 isolate Sze1/04 non-structural polyprotein gene, partial cds
FJ375759.1;Human astrovirus isolate SH1, complete genome
GQ914773.1;Porcine astrovirus 2 Shanghai/2008 polyprotein and capsid protein genes, complete cds
HQ668123.1;Bottlenose dolphin astrovirus 1 strain Tt27 RNA-dependent RNA polymerase and capsid precursor, genes, partial cds; and ORFX gene, complete cds
HQ668129.1;Bottlenose dolphin astrovirus 3 strain Tt23 RNA-dependent RNA polymerase gene, partial cds; and capsid precursor and ORFX genes, complete cds
HQ668143.1;Minke whale astrovirus 2 strain MH03-629 RNA-dependent RNA polymerase gene, partial cds; and capsid precursor and ORFX genes, complete cds
KC342249.1;Mamastrovirus 1 isolate km1 nonstructural protein and structural protein genes, complete cds
KC411816.1;Avian nephritis virus 1 non-structural polyprotein mRNA, partial cds
KF233994.1;Bovine astrovirus NeuroS1 ORF1AB, ORF1, and capsid protein genes, complete cds
KP090035.1;Human astrovirus 1 isolate ZJ1370083 nonstructural protein gene, partial cds
KP090036.1;Human astrovirus 5 isolate ZJ1370092 nonstructural protein gene, partial cds
KP090037.1;Human astrovirus 5 isolate ZJ1370162 nonstructural protein gene, partial cds
KP090038.1;Human astrovirus 1 isolate ZJ1370164 nonstructural protein gene, partial cds
KP090039.1;Human astrovirus 1 isolate ZJ1370297 nonstructural protein gene, partial cds
KP090040.1;Human astrovirus 1 isolate ZJ1370235 nonstructural protein gene, partial cds
KP090041.1;Human astrovirus 5 isolate ZJ1370278 nonstructural protein gene, partial cds
