host_original	host_clean	species	genus	family	order	class	phylum	kingdom
chicken	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
goose	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
cow	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
buffalo	Bubalus bubalis	Bubalus bubalis	Bubalus	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Ptyas mucosa	Ptyas mucosa	Ptyas mucosa	Ptyas	Colubridae	Squamata	Lepidosauria	Chordata	Metazoa
Geotria australis	Geotria australis	Geotria australis	Geotria	Geotriidae	Petromyzontiformes	Hyperoartia	Chordata	Metazoa
Gallus gallus	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Homo sapiens	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
lion head goose	Anser cygnoides	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Ducklings	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Haemaphysalis longicornis	Haemaphysalis longicornis	Haemaphysalis longicornis	Haemaphysalis	Ixodidae	Ixodida	Arachnida	Arthropoda	Metazoa
bovine	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Ovis aries	Ovis aries	Ovis aries	Ovis	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Bos taurus	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Capra hircus	Capra hircus	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Bos grunniens	Bos grunniens	Bos grunniens	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
feline	Felis catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa
Anser cygnoides	Anser cygnoides	Anser cygnoides	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
pigeon	Columba livia	Columba livia	Columba	Columbidae	Columbiformes	Aves	Chordata	Metazoa
Nyctalus noctula	Nyctalus noctula	Nyctalus noctula	Nyctalus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Felis catus	Felis catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa
Sus scrofa	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Triatoma indictiva	Triatoma indictiva	Triatoma indictiva	Triatoma	Reduviidae	Hemiptera	Insecta	Arthropoda	Metazoa
Subantarctic skua	Stercorarius antarcticus	Stercorarius antarcticus	Stercorarius	Stercorariidae	Charadriiformes	Aves	Chordata	Metazoa
