record_name	accession	assigned_orf	start	end	strand	codon_start
PQ110289	PQ110289.1	unknown	1	887	1	1
PQ110289	PQ110289.1	1B	1002	2227	1	1
PP512783	PP512783.1	unknown	0	1012	1	1
PP512783	PP512783.1	1A	1127	1899	1	1
PP512783	PP512783.1	1B	1882	2957	1	1
PP512783	PP512783.1	2	3195	3664	1	1
PP512783	PP512783.1	2	3659	4278	1	1
PP512783	PP512783.1	unknown	4252	4919	1	1
OR800315	OR800315.1	unknown	84	364	1	1
OR800315	OR800315.1	unknown	431	591	1	1
OP474168	OP474168.1	unknown	0	250	1	1
OP474168	OP474168.1	2	238	2198	1	1
MN733910	MN733910.1	unknown	2	459	1	1
MN036159	MN036159.1	unknown	0	301	-1	1
MN036159	MN036159.1	1B	292	1892	-1	1
MN036159	MN036159.1	1A	1929	2194	-1	1
MN036131	MN036131.1	1B	277	1928	-1	1
MN035893	MN035893.1	1B	0	1423	1	1
MN035838	MN035838.1	1B	41	5685	-1	1
MN035574	MN035574.1	unknown	2	153	-1	1
MN035574	MN035574.1	1B	204	1555	-1	1
MN035429	MN035429.1	1B	1	1214	1	1
MN035369	MN035369.1	1B	0	1573	-1	1
MN034849	MN034849.1	1B	0	1687	-1	1
MN034422	MN034422.1	unknown	1	614	-1	1
MN034422	MN034422.1	1B	557	1743	-1	1
MN034197	MN034197.1	1B	1	803	1	1
MN034197	MN034197.1	unknown	815	1293	1	1
MN033907	MN033907.1	1B	135	1318	-1	1
MN033591	MN033591.1	1B	2	1317	1	1
MN033177	MN033177.1	1B	0	3289	1	1
MN033141	MN033141.1	1B	0	1180	1	1
MN032977	MN032977.1	1B	494	6675	-1	1
EF490429	EF490429.1	1A	0	262	1	1
L23511	L23511.1	unknown	2	201	1	1
L23508	L23508.1	unknown	2	201	1	1
L13745	L13745.1	1A	1	2846	1	1
L13745	L13745.1	1B	2859	4333	1	1
L13745	L13745.1	2	4324	6716	1	1
