accession	annotated_orf	domain_orf	start	end	strand
PX871025	1B	1A	3843	6615	-1
PX871024	1B	1A	0	206	-1
PX871023	1B	1A	255	3060	1
PX871022	1B	1A	3796	6601	-1
PV605160	2	1A	3864	6132	-1
PX452315	1B	2	93	640	1
PV999257	1B	1A	1	1296	1
PV983331	1B	1A	0	810	-1
PP872132	1B	1A	0	2298	1
PP872120	1B	1A	0	1644	1
PP872111	1B	1A	0	2226	1
PP872100	1A	1B	1	1116	1
PP872084	1A	1B	0	1566	1
PP872080	1B	1A	0	2490	1
PP872067	1B	1A	0	2478	1
PP872063	1B	1A	0	1014	1
PP872059	1B	1A	0	1713	1
PP872003	1B	1A	0	984	1
PP871941	1B	1A	0	1599	1
PP871934	1B	1A	0	2013	1
PP871933	1B	1A	0	1209	1
PP871917	1B	1A_1B	0	4173	1
PP871897	1B	1A	0	1305	1
PP871893	1B	1A	0	909	1
PP871887	1B	1A	0	1368	1
PP871875	1B	1A	0	2004	1
PP871870	1B	1A	0	1464	1
PP871863	1B	1A	0	1605	1
PP871857	1B	1A	0	1116	1
PQ220260	1A	2	794	2603	1
PQ220258	1A	1B	0	738	1
PQ220258	1B	2	754	2368	1
PQ055531	2	1B	2081	5819	1
PQ062282	1B	1A	23	2465	1
PP590744	1B	1A	0	3378	1
PP711869	2	1B_2	3465	5895	1
PP173657	1B	1A_1B	28	6586	-1
PP172843	1B	1A_1B	70	9073	-1
OK376645	1B	1A	2	444	1
OR613369	1B	1A	0	694	1
OR613367	1B	1A	2	698	1
OR613362	1B	1A	1	1153	1
OR613361	1B	1A	30	941	1
OR613359	1B	1A	0	791	1
OR613357	2	1B	0	624	1
OR613354	1B	1A	1	2056	1
OR613345	1B	1A	1	718	1
OR613343	1B	1A	0	830	1
OR613336	1B	1A	2	675	1
OR613327	1B	1A	0	607	1
OR613326	1B	1A	0	1541	1
OR613325	1B	1A	1	1186	1
OR613322	1B	1A	1	557	1
OR613318	1B	1A	0	964	1
OR613316	1B	1A	1	725	1
OR613314	1B	1A	1	623	1
OR613288	2	1B_2	0	1801	1
OR613282	1B	1A	0	982	1
OR613271	1B	1A	0	1195	1
OR613270	1B	1A	2	666	1
OR613267	1B	1A	1	675	1
OR613264	1B	1A	0	789	1
OR613261	1B	1A	2	681	1
OR613256	1B	1A	2	536	1
OR613255	1B	1A	2	857	1
OR613243	1B	1A	1	521	1
OQ802711	2	1B	428	681	1
OQ802699	2	1B	3083	3769	1
OR270072	1B	1A	0	3810	1
OP594725	1B	1A	10	2671	1
OP272633	1B	1A_1B	2594	5054	1
ON807353	1B	2	3726	6078	1
ON807353	2	1B	2345	3734	1
ON807348	1B	1A_1B	0	4254	1
ON682287	1A	2	3895	6208	1
OM451103	1B	1A_1B	0	3879	1
OP121130	1B	1A	0	1875	1
MT766346	1A	1B	1	700	1
MT766345	1A	1B	2	1499	1
MT766338	1A	1B	1	1510	1
MT766331	1A	1B	0	648	1
MT766332	1B	1A_1B	2	2059	1
OM451117	1B	1A	0	3288	1
OM451147	1B	1A_1B	0	3909	1
OM451211	1B	1A_1B	40	3976	1
OM451210	1B	1A_1B	0	3888	1
OM451148	1B	1A_1B	36	4272	1
OM451116	1B	1A_1B	1	4153	1
OM451114	1B	1A_1B	0	4089	1
OM451113	1B	1A_1B	98	4190	1
OM451109	1B	1A_1B	2	4154	1
OM451108	1B	1A_1B	0	2061	1
OM451107	1B	1A_1B	1	3928	1
OM451106	1B	1A_1B	0	3975	1
OM451105	1B	1A_1B	2	3941	1
OM451115	1B	1A_1B	35	4271	1
OM451112	1B	1A_1B	69	4305	1
OM451111	1B	1A_1B	58	4294	1
OM451110	1B	1A_1B	1	4324	1
OM451104	1B	1A_1B	28	3964	1
MZ291971	1B	1A	3213	6804	-1
MZ603072	2	1A_1B_2	0	6732	1
MT579888	1B	1A	0	3465	1
MT579872	1B	1A	0	3102	1
MT833878	1B	1A	0	2556	1
MK948878	1B	2	0	603	1
MN033872	1B	1A_1B	838	8044	1
MK378501	1B	1A	0	1301	1
MG599898	1B	1B_2	3231	6528	1
MG557601	2	1A	2	451	1
KU860562	1A	1B	0	598	1
KU860561	1A	1B	2	756	1
KU860560	1A	1B	2	293	1
AF361036	1B	1A	2	289	1
AF361035	1B	1A	2	289	1
AF361034	1B	1A	2	289	1
AF361033	1B	1A	2	289	1
AF361032	1B	1A	2	289	1
AF361031	1B	1A	2	289	1
AF361030	1B	1A	2	289	1
AF361029	1B	1A	2	289	1
AF361028	1B	1A	2	289	1
HQ878375	1B	1A	1	328	1
HQ878373	1B	1A	1	328	1
KT892956	2	1B	0	1536	1
KF453630	2	1A	0	291	1
KF453629	1A	2	0	450	1
JX171290	1B	1A	2	217	1
JX171289	1B	1A	2	217	1
JX171288	1B	1A	2	217	1
JX171287	1B	1A	2	217	1
JX171286	1B	1A	2	217	1
JX171285	1B	1A	2	217	1
JX171284	1B	1A	2	217	1
JX171283	1B	1A	2	217	1
JX171282	1B	1A	2	217	1
JX171281	1B	1A	2	217	1
AB105177	1B	1A	2	289	1
