Accession	LOCUS	Version	GenBank title	Release date	Organism name	Virus Lineage	Species	Family	Length	Reference_title	Submitters	PUBMED_ID	Strain	Isolate	Geo location	Country	Collection date	Tissue/Specimen/Source	Host	Environmental	CDS count	Artificial	UNVERIFIED	1A	1A-strand	1B	1B-strand	2	2-strand	host_clean	Host_species	Host_genus	Host_family	Host_order	Host_class	Host_phylum	Host_kingdom	Species_ICTV	virus_name
PZ195463	PZ195463	PZ195463.1	Goose astrovirus isolate G29, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G29	China		23-Jun-2024		chicken	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa	NA	NA
PZ195462	PZ195462	PZ195462.1	Goose astrovirus isolate X-1, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			X-1	China		08-Jul-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195461	PZ195461	PZ195461.1	Goose astrovirus isolate G292, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G292	China		22-Jul-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195460	PZ195460	PZ195460.1	Goose astrovirus isolate G259, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G259	China		19-Jul-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195459	PZ195459	PZ195459.1	Goose astrovirus isolate G253, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G253	China		18-Jul-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195458	PZ195458	PZ195458.1	Goose astrovirus isolate G200, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G200	China		16-Jul-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195457	PZ195457	PZ195457.1	Goose astrovirus isolate G148, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G148	China		07-Jul-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195456	PZ195456	PZ195456.1	Goose astrovirus isolate G134, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G134	China		06-Jul-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195455	PZ195455	PZ195455.1	Goose astrovirus isolate G47, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G47	China		27-Jun-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
PZ195454	PZ195454	PZ195454.1	Goose astrovirus isolate G24, complete genome	23-JUN-2026	Goose astrovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus		Astroviridae	7116	Direct Submission	Li,W., Leng,H. and Zhang,Y.			G24	China		23-Jun-2024		goose	No	3	No	No	56-3311	1.0	3565-4852	1.0	4870-6985	1.0	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa	NA	NA
