,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count
MZ218054,MZ218054.1,MAG: Bat astrovirus isolate BtAstV/21164-6-B/M.dau/DK/2015 genomic sequence,09-JUN-2021,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,6558,"Lazov,C.M., Belsham,G.J., Boetner,A. and Rasmussen,T.B.",NA,BtAstV/21164-6-B/M.dau/DK/2015,Denmark: Moensted,NA,Nov-2015,feces,Myotis daubentonii,Yes,2
PP272791,PP272791.1,MAG: Common gecko astrovirus isolate DN221538 genomic sequence,06-MAR-2024,Common gecko astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,NA,Astroviridae,303,"Waller,S.J., Butcher,R., Lim,L., Mcinnes,K., Holmes,E.C. and Geoghegan,J.L.",NA,DN221538,New Zealand,NA,2021,cloacal swab,Woodworthia maculata,Yes,1
PV418556,PV418556.1,"Canine astrovirus isolate CaAstV/Dog/AUS/huntervalley_7/2022 nonstructural protein gene, complete cds; RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,6444,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/huntervalley_7/2022,Australia: Hunter Valley,NA,Aug-2022,feces,Canis lupus familiaris,No,3
PV418555,PV418555.1,"Canine astrovirus isolate CaAstV/Dog/AUS/huntervalley_6/2022 nonstructural protein, RNA-dependent RNA polymerase, and capsid protein genes, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,6466,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/huntervalley_6/2022,Australia: Hunter Valley,NA,Aug-2022,feces,Canis lupus familiaris,No,3
PV418548,PV418548.1,"Canine astrovirus isolate CaAstV/Dog/AUS/b_hopevale_4/2021 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,2447,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/b_hopevale_4/2021,Australia: Hope Vale,NA,Dec-2021,rectal swab,Canis lupus familiaris,No,1
PV418547,PV418547.1,"Canine astrovirus isolate CaAstV/Dog/AUS/a_hopevale_4/2021 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,2416,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/a_hopevale_4/2021,Australia: Hope Vale,NA,Dec-2021,rectal swab,Canis lupus familiaris,No,1
PV418557,PV418557.1,"Canine astrovirus isolate CaAstV/Dog/AUS/perth_6/2022 nonstructural protein gene, complete cds; RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,6478,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/perth_6/2022,Australia: Perth,NA,Mar-2022,feces,Canis lupus familiaris,No,3
PV418554,PV418554.1,"Canine astrovirus isolate CaAstV/Dog/AUS/huntervalley_3/2022 nonstructural protein gene, complete cds; and RNA-dependent RNA polymerase and capsid protein genes, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,6460,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/huntervalley_3/2022,Australia: Hunter Valley,NA,Aug-2022,feces,Canis lupus familiaris,No,3
PV418553,PV418553.1,"Canine astrovirus isolate CaAstV/Dog/AUS/centralwest_6/2022 nonstructural protein gene, complete cds; RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,6465,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/centralwest_6/2022,Australia: Orange,NA,Jun-2022,feces,Canis lupus familiaris,No,3
PV418552,PV418552.1,"Canine astrovirus isolate CaAstV/Dog/AUS/centralwest_5/2022 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,962,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/centralwest_5/2022,Australia: Orange,NA,Jun-2022,feces,Canis lupus familiaris,No,1
PV418551,PV418551.1,"Canine astrovirus isolate CaAstV/Dog/AUS/centralwest_3/2022 RNA-dependent RNA polymerase gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,2059,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/centralwest_3/2022,Australia: Orange,NA,Jun-2022,feces,Canis lupus familiaris,No,1
PV418550,PV418550.1,"Canine astrovirus isolate CaAstV/Dog/AUS/centralwest_3/2022 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,2311,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/centralwest_3/2022,Australia: Orange,NA,Jun-2022,feces,Canis lupus familiaris,No,1
PV418549,PV418549.1,"Canine astrovirus isolate CaAstV/Dog/AUS/c_hopevale_4/2021 capsid protein gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,2227,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/c_hopevale_4/2021,Australia: Hope Vale,NA,Dec-2021,rectal swab,Canis lupus familiaris,No,1
PV418546,PV418546.1,"Canine astrovirus isolate CaAstV/Dog/AUS/2_hopevale_4/2021 nonstructural protein gene, complete cds; and RNA-dependent RNA polymerase gene, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,4175,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/2_hopevale_4/2021,Australia: Hope Vale,NA,Dec-2021,rectal swab,Canis lupus familiaris,No,2
PV418545,PV418545.1,"Canine astrovirus isolate CaAstV/Dog/AUS/1_hopevale_4/2021 nonstructural protein and RNA-dependent RNA polymerase genes, partial cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,NA,Astroviridae,2070,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",NA,CaAstV/Dog/AUS/1_hopevale_4/2021,Australia: Hope Vale,NA,Dec-2021,rectal swab,Canis lupus familiaris,No,2
PX395426,PX395426.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-13 nonstructural polyprotein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,112,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-13,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395425,PX395425.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-12 nonstructural polyprotein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,152,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-12,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395424,PX395424.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-11 nonstructural polyprotein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,276,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-11,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395423,PX395423.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-10 nonstructural polyprotein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,582,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-10,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
PX395422,PX395422.1,"Chicken astrovirus strain CAst/Bayern/2024 isolate Contig-9 nonstructural polyprotein gene, partial cds",05-OCT-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,NA,Astroviridae,368,"Moharam,I., El-Mayet,F.S., Najar,F.Z., Bruggemann,J., Schmitt,F., Schade,B. and Bohm,B.",CAst/Bayern/2024,Contig-9,Germany: Bavaria,NA,Feb-2024,cecal tonsils,chicken (broiler),No,1
