candidate_id	record_name	accession	start	end	strand	gene	product	is_corrected	correction_offset	original_translation
cand_0001	PZ195463	PZ195463.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0002	PZ195462	PZ195462.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0003	PZ195461	PZ195461.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0004	PZ195460	PZ195460.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0005	PZ195459	PZ195459.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0006	PZ195458	PZ195458.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0007	PZ195457	PZ195457.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0008	PZ195456	PZ195456.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0009	PZ195455	PZ195455.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0010	PZ195454	PZ195454.1	56	3311	1	unknown	non-structural polyprotein	False		
cand_0011	PZ133622	PZ133622.1	0	3227	1	unknown	nonstructural polyprotein	False		
cand_0012	PX876879	PX876879.1	7	3433	1	unknown	non-structural polyprotein	False		
cand_0013	PZ000444	PZ000444.1	18	1444	1	unknown	hypothetical protein	False		
cand_0014	PZ000443	PZ000443.1	40	1009	1	unknown	hypothetical protein	False		
cand_0015	PZ000442	PZ000442.1	0	1127	1	unknown	hypothetical protein	False		
cand_0016	PZ000441	PZ000441.1	57	1014	1	unknown	hypothetical protein	False		
cand_0017	PZ000440	PZ000440.1	437	2298	1	unknown	hypothetical protein	False		
cand_0018	PZ000439	PZ000439.1	92	2656	1	unknown	hypothetical protein	False		
cand_0019	PZ000438	PZ000438.1	6717	7272	1	unknown	hypothetical protein	False		
cand_0020	PZ000437	PZ000437.1	14	1834	1	unknown	hypothetical protein	False		
cand_0021	PZ000436	PZ000436.1	408	2322	1	unknown	hypothetical protein	False		
cand_0022	PX666685	PX666685.1	0	711	1	unknown	non-structural polyprotein	False		
cand_0023	PX619609	PX619609.1	4371	4710	1	unknown	ORFX	False		
cand_0024	PX848849	PX848849.1	89	4084	1	unknown	polyprotein	False		
cand_0025	PX139078	PX139078.1	68	1991	1	NSP	non-structural polyprotein	False		
cand_0026	PX870876	PX870876.1	0	473	-1	unknown	non-structural polyprotein	False		
cand_0027	PX870875	PX870875.1	1157	2672	1	unknown	non-structural polyprotein	False		
cand_0028	PX870874	PX870874.1	490	2035	-1	unknown	non-structural polyprotein	False		
cand_0029	PX870873	PX870873.1	3100	4666	1	unknown	non-structural polyprotein	False		
cand_0030	PX870872	PX870872.1	0	894	-1	unknown	non-structural polyprotein	False		
cand_0031	PX731517	PX731517.1	819	2097	-1	unknown	hypothetical protein	False		
cand_0032	PX730404	PX730404.1	910	1492	1	unknown	hypothetical protein	False		
cand_0033	PX730396	PX730396.1	589	1301	-1	unknown	hypothetical protein	False		
cand_0034	PX730395	PX730395.1	430	2278	-1	unknown	hypothetical protein	False		
cand_0035	PX730395	PX730395.1	3715	8038	-1	unknown	hypothetical protein	False		
cand_0036	PX730243	PX730243.1	2101	2884	-1	unknown	hypothetical protein	False		
cand_0037	PX221760	PX221760.1	0	2256	1	unknown	nonstructural polyprotein	False		
cand_0038	PX221757	PX221757.1	8	2765	1	unknown	nonstructural polyprotein	False		
cand_0039	PX221756	PX221756.1	8	2765	1	unknown	nonstructural polyprotein	False		
cand_0040	PV087402	PV087402.1	0	492	1	unknown	ORF1	False		
cand_0041	PV605202	PV605202.1	24	4242	1	ORF1	putative non-structural polyprotein	False		
cand_0042	PV605181	PV605181.1	11	2657	1	ORF1	putative ORF1a protein	False		
cand_0043	PV605181	PV605181.1	2569	4135	1	ORF3	putative ORF1b protein	False		
cand_0044	PV605168	PV605168.1	0	595	-1	ORF3	hypothetical protein	False		
cand_0045	PV605168	PV605168.1	112	3688	1	ORF1	putative non-structural polyprotein	False		
cand_0046	PV605161	PV605161.1	1917	4086	1	ORF1	putative non-structural protein	False		
cand_0047	PV605151	PV605151.1	41	2624	1	ORF1	putative ORF1a protein	False		
cand_0048	PV605151	PV605151.1	2674	4072	1	ORF3	putative non-structural polyprotein	False		
cand_0049	PV418557	PV418557.1	59	2606	1	unknown	nonstructural protein	False		
cand_0050	PV418556	PV418556.1	0	2670	1	unknown	nonstructural protein	False		
cand_0051	PV418555	PV418555.1	0	2667	1	unknown	nonstructural protein	False		
cand_0052	PV418554	PV418554.1	0	2670	1	unknown	nonstructural protein	False		
cand_0053	PV418553	PV418553.1	0	2670	1	unknown	nonstructural protein	False		
cand_0054	PV418546	PV418546.1	0	2670	1	unknown	nonstructural protein	False		
cand_0055	PV418545	PV418545.1	0	735	1	unknown	nonstructural protein	False		
cand_0056	PX395425	PX395425.1	0	152	1	unknown	nonstructural polyprotein	False		
cand_0057	PX395424	PX395424.1	0	276	1	unknown	nonstructural polyprotein	False		
cand_0058	PX395423	PX395423.1	0	582	1	unknown	nonstructural polyprotein	False		
cand_0059	PX395422	PX395422.1	0	368	1	unknown	nonstructural polyprotein	False		
cand_0060	PX289198	PX289198.1	0	3273	1	unknown	hypothetical protein	False		
cand_0061	PX289198	PX289198.1	3527	4814	1	unknown	hypothetical protein	False		
cand_0062	PX289198	PX289198.1	4832	6947	1	unknown	hypothetical protein	False		
cand_0063	PX289197	PX289197.1	0	3029	1	unknown	hypothetical protein	False		
cand_0064	PX289197	PX289197.1	3283	4570	1	unknown	hypothetical protein	False		
cand_0065	PX289197	PX289197.1	4588	6703	1	unknown	hypothetical protein	False		
cand_0066	PX289196	PX289196.1	0	3029	1	unknown	hypothetical protein	False		
cand_0067	PX289196	PX289196.1	3283	4570	1	unknown	hypothetical protein	False		
cand_0068	PX289196	PX289196.1	4588	6703	1	unknown	hypothetical protein	False		
cand_0069	PX095873	PX095873.1	1117	1249	-1	unknown	hypothetical protein	False		
cand_0070	PX095817	PX095817.1	3906	7273	-1	unknown	nonstructural polyprotein	False		
cand_0071	PX095754	PX095754.1	0	1113	-1	unknown	hypothetical protein	False		
cand_0072	PX113254	PX113254.1	13	1296	1	unknown	polyprotein	False		
cand_0073	PV979748	PV979748.1	45	2490	-1	unknown	hypothetical protein	False		
cand_0074	PQ421854	PQ421854.1	153	1935	-1	unknown	hypothetical protein	False		
cand_0075	PQ421854	PQ421854.1	2095	3460	-1	unknown	hypothetical protein	False		
cand_0076	PQ421854	PQ421854.1	3750	6069	-1	unknown	hypothetical protein	False		
cand_0077	PQ421853	PQ421853.1	160	1951	-1	unknown	hypothetical protein	False		
cand_0078	PQ421853	PQ421853.1	2111	3530	-1	unknown	hypothetical protein	False		
cand_0079	PQ421853	PQ421853.1	3766	6097	-1	unknown	hypothetical protein	False		
cand_0080	PQ421852	PQ421852.1	7	3376	-1	unknown	hypothetical protein	False		
cand_0081	PQ421852	PQ421852.1	3612	5013	-1	unknown	hypothetical protein	False		
cand_0082	PQ421851	PQ421851.1	76	1135	1	unknown	hypothetical protein	False		
cand_0083	PQ421850	PQ421850.1	133	2836	1	unknown	hypothetical protein	False		
cand_0084	PQ421850	PQ421850.1	4300	6469	1	unknown	hypothetical protein	False		
cand_0085	PQ421849	PQ421849.1	355	2491	1	unknown	hypothetical protein	False		
cand_0086	PQ421849	PQ421849.1	4013	6143	1	unknown	hypothetical protein	False		
cand_0087	PQ421848	PQ421848.1	3	2334	1	unknown	hypothetical protein	False		
cand_0088	PQ421848	PQ421848.1	2624	3989	1	unknown	hypothetical protein	False		
cand_0089	PQ421848	PQ421848.1	4149	5940	1	unknown	hypothetical protein	False		
cand_0090	PQ421847	PQ421847.1	152	1943	-1	unknown	hypothetical protein	False		
cand_0091	PQ421847	PQ421847.1	2103	3309	-1	unknown	hypothetical protein	False		
cand_0092	PQ421847	PQ421847.1	3268	3469	-1	unknown	hypothetical protein	False		
cand_0093	PQ421847	PQ421847.1	3759	6090	-1	unknown	hypothetical protein	False		
cand_0094	PQ421846	PQ421846.1	160	1942	-1	unknown	hypothetical protein	False		
cand_0095	PQ421846	PQ421846.1	2102	3467	-1	unknown	hypothetical protein	False		
cand_0096	PQ421846	PQ421846.1	3757	6082	-1	unknown	hypothetical protein	False		
cand_0097	PQ421845	PQ421845.1	158	1940	-1	unknown	hypothetical protein	False		
cand_0098	PQ421845	PQ421845.1	2100	3465	-1	unknown	hypothetical protein	False		
cand_0099	PQ421845	PQ421845.1	3755	6080	-1	unknown	hypothetical protein	False		
cand_0100	PQ421844	PQ421844.1	159	1941	-1	unknown	hypothetical protein	False		
cand_0101	PQ421844	PQ421844.1	2101	3466	-1	unknown	hypothetical protein	False		
cand_0102	PQ421844	PQ421844.1	3756	5979	-1	unknown	hypothetical protein	False		
cand_0103	PQ421843	PQ421843.1	5	2333	1	unknown	hypothetical protein	False		
cand_0104	PQ421843	PQ421843.1	2623	3988	1	unknown	hypothetical protein	False		
cand_0105	PQ421843	PQ421843.1	4145	5924	1	unknown	hypothetical protein	False		
cand_0106	PQ421842	PQ421842.1	152	1931	-1	unknown	hypothetical protein	False		
cand_0107	PQ421842	PQ421842.1	2088	3453	-1	unknown	hypothetical protein	False		
cand_0108	PQ421842	PQ421842.1	3743	5969	-1	unknown	hypothetical protein	False		
cand_0109	PQ421841	PQ421841.1	355	1525	1	unknown	hypothetical protein	False		
cand_0110	PQ421841	PQ421841.1	1563	3051	1	unknown	hypothetical protein	False		
cand_0111	PV843273	PV843273.1	0	2664	1	unknown	peptidase S39	False		
cand_0112	PP211426	PP211426.1	31	4261	1	unknown	non-structural polyprotein	False		
cand_0113	PP211349	PP211349.1	1	3673	1	unknown	non-structural polyprotein	False		
cand_0114	PP211348	PP211348.1	333	3627	1	unknown	non-structural polyprotein	False		
cand_0115	PP211347	PP211347.1	2	3674	1	unknown	non-structural polyprotein	False		
cand_0116	PP211346	PP211346.1	1	3673	1	unknown	non-structural polyprotein	False		
cand_0117	PP211345	PP211345.1	1	3673	1	unknown	non-structural polyprotein	False		
cand_0118	PP211344	PP211344.1	2	3677	1	unknown	non-structural polyprotein	False		
cand_0119	PP211343	PP211343.1	3	3678	1	unknown	non-structural polyprotein	False		
cand_0120	PP211223	PP211223.1	0	2935	1	unknown	non-structural polyprotein	False		
cand_0121	PP211222	PP211222.1	0	1330	1	unknown	non-structural polyprotein	False		
cand_0122	PP211221	PP211221.1	0	2065	1	unknown	non-structural polyprotein	False		
cand_0123	PV351774	PV351774.1	45	2490	-1	unknown	hypothetical protein	False		
cand_0124	PV351773	PV351773.1	4064	6401	1	unknown	hypothetical protein	False		
cand_0125	PV351772	PV351772.1	105	2640	-1	unknown	hypothetical protein	False		
cand_0126	PV351771	PV351771.1	4179	6738	1	unknown	hypothetical protein	False		
cand_0127	PV351770	PV351770.1	3743	6188	1	unknown	hypothetical protein	False		
cand_0128	PQ541169	PQ541169.1	0	3718	1	unknown	non-structural polyprotein	False		
cand_0129	PQ150499	PQ150499.1	426	6450	1	unknown	hypothetical protein	False		
cand_0130	PQ150499	PQ150499.1	6710	7265	1	unknown	hypothetical protein	False		
cand_0131	PQ678015	PQ678015.1	36	2832	1	unknown	nonstructural protein	False		
cand_0132	PQ678014	PQ678014.1	38	2705	1	unknown	nonstructural polyprotein	False		
cand_0133	PQ678014	PQ678014.1	3361	4153	1	unknown	nonstructural protein	False		
cand_0134	PQ678013	PQ678013.1	3013	4111	1	unknown	nonstructural protein	False		
cand_0135	PQ678010	PQ678010.1	2726	4160	1	unknown	nonstructural protein	False		
cand_0136	PQ678008	PQ678008.1	3435	4227	1	unknown	nonstructural polyprotein	False		
cand_0137	PQ678007	PQ678007.1	2739	4173	1	unknown	nonstructural protein	False		
cand_0138	PQ622678	PQ622678.1	13	7699	1	unknown	hypothetical protein	False		
cand_0139	PQ622678	PQ622678.1	10331	11087	1	unknown	hypothetical protein	False		
cand_0140	PQ622678	PQ622678.1	10980	13590	1	unknown	hypothetical protein	False		
cand_0141	PQ622677	PQ622677.1	37	7696	1	unknown	hypothetical protein	False		
cand_0142	PQ622677	PQ622677.1	10328	11090	1	unknown	hypothetical protein	False		
cand_0143	PQ622677	PQ622677.1	10983	13593	1	unknown	hypothetical protein	False		
cand_0144	OQ835730	OQ835730.1	0	4190	1	unknown	non-structural polyprotein	False		
cand_0145	OQ835730	OQ835730.1	5297	5535	1	unknown	hypothetical protein	False		
cand_0146	OQ835729	OQ835729.1	79	4303	1	unknown	non-structural polyprotein	False		
cand_0147	OQ835729	OQ835729.1	5410	5752	1	unknown	hypothetical protein	False		
cand_0148	PQ530056	PQ530056.1	0	4268	1	unknown	nonstructural protein	False		
cand_0149	LC849230	LC849230.1	36	4266	1	unknown	non-structural polyprotein	False		
cand_0150	LC849229	LC849229.1	36	4266	1	unknown	non-structural polyprotein	False		
cand_0151	LC849228	LC849228.1	36	4266	1	unknown	non-structural polyprotein	False		
cand_0152	PQ161557	PQ161557.1	30	4254	1	unknown	hypothetical protein	False		
cand_0153	PQ161557	PQ161557.1	4279	5332	1	unknown	hypothetical protein	False		
cand_0154	PQ161557	PQ161557.1	5361	5667	1	unknown	hypothetical protein	False		
cand_0155	PQ055539	PQ055539.1	93	1074	1	unknown	putative peptidase	False		
cand_0156	PQ055539	PQ055539.1	2765	3848	1	unknown	hypothetical protein	False		
cand_0157	PQ055538	PQ055538.1	6	3072	1	unknown	putative peptidase	False		
cand_0158	PQ055537	PQ055537.1	99	1848	1	unknown	hypothetical protein	False		
