candidate_id	record_name	accession	start	end	codon_start	strand	gene	product	is_corrected	correction_offset	original_translation	assigned_orf
cand_0001	PZ195463	PZ195463.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0002	PZ195462	PZ195462.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0003	PZ195461	PZ195461.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0004	PZ195460	PZ195460.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0005	PZ195459	PZ195459.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0006	PZ195458	PZ195458.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0007	PZ195457	PZ195457.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0008	PZ195456	PZ195456.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0009	PZ195455	PZ195455.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0010	PZ195454	PZ195454.1	56	3311	1	1	unknown	non-structural polyprotein	False			1A
cand_0011	PZ133622	PZ133622.1	0	3227	3	1	unknown	nonstructural polyprotein	False			1A
cand_0012	PX876879	PX876879.1	7	3433	1	1	unknown	non-structural polyprotein	False			1A
cand_0013	PZ000444	PZ000444.1	18	1444	1	1	unknown	hypothetical protein	False			unknown
cand_0014	PZ000443	PZ000443.1	40	1009	1	1	unknown	hypothetical protein	False			unknown
cand_0015	PZ000442	PZ000442.1	0	1127	1	1	unknown	hypothetical protein	False			unknown
cand_0016	PZ000441	PZ000441.1	57	1014	1	1	unknown	hypothetical protein	False			unknown
cand_0017	PZ000440	PZ000440.1	437	2298	1	1	unknown	hypothetical protein	False			unknown
cand_0018	PZ000439	PZ000439.1	92	2656	1	1	unknown	hypothetical protein	False			unknown
cand_0019	PZ000438	PZ000438.1	6717	7272	1	1	unknown	hypothetical protein	False			unknown
cand_0020	PZ000437	PZ000437.1	14	1834	1	1	unknown	hypothetical protein	False			unknown
cand_0021	PZ000436	PZ000436.1	408	2322	1	1	unknown	hypothetical protein	False			unknown
cand_0022	PX666685	PX666685.1	0	711	1	1	unknown	non-structural polyprotein	False			unknown
cand_0023	PX619609	PX619609.1	4371	4710	1	1	unknown	ORFX	False			unknown
cand_0024	PX848849	PX848849.1	89	4084	1	1	unknown	polyprotein	False			1B
cand_0025	PX139078	PX139078.1	68	1991	1	1	NSP	non-structural polyprotein	False			unknown
cand_0026	PX870876	PX870876.1	0	473	2	-1	unknown	non-structural polyprotein	False			1B
cand_0027	PX870875	PX870875.1	1157	2672	1	1	unknown	non-structural polyprotein	False			1B
cand_0028	PX870874	PX870874.1	490	2035	1	-1	unknown	non-structural polyprotein	False			1B
cand_0029	PX870873	PX870873.1	3100	4666	1	1	unknown	non-structural polyprotein	False			1B
cand_0030	PX870872	PX870872.1	0	894	3	-1	unknown	non-structural polyprotein	False			1B
cand_0031	PX731517	PX731517.1	819	2097	1	-1	unknown	hypothetical protein	False			1A
