GBAC,1A,1A-strand,1B,1B-strand,2,2-strand
PV418556,0-2670,1,2621-4157,1,3957-6444,1
PV418555,0-2667,1,2618-4154,1,3954-6466,1
PV418548,NA-NA,NA,NA-NA,NA,116-2447,1
PV418547,NA-NA,NA,NA-NA,NA,57-2416,1
PV418557,59-2606,1,2569-4138,1,4091-6455,1
PV418554,0-2670,1,2621-4157,1,3957-6460,1
PV418553,0-2670,1,2621-4157,1,3957-6465,1
PV418552,NA-NA,NA,NA-NA,NA,0-962,1
PV418551,NA-NA,NA,548-2059,1,NA-NA,NA
PV418550,NA-NA,NA,NA-NA,NA,2-2311,1
PV418549,NA-NA,NA,NA-NA,NA,1-2227,1
PV418546,0-2670,1,2621-4157,1,NA-NA,NA
PV418545,0-735,1,686-2070,1,NA-NA,NA
PX395426,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX395425,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX395424,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX395423,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX395422,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX395421,NA-NA,NA,0-291,1,NA-NA,NA
PX395420,NA-NA,NA,0-283,1,NA-NA,NA
PX395419,NA-NA,NA,2-238,1,NA-NA,NA
PX395418,NA-NA,NA,0-123,1,147-189,1
PX395417,NA-NA,NA,NA-NA,NA,0-152,1
PX395416,NA-NA,NA,NA-NA,NA,0-122,1
PX395415,NA-NA,NA,NA-NA,NA,0-153,1
PX378139,NA-NA,NA,0-690,1,682-859,1
PX378138,NA-NA,NA,0-690,1,682-859,1
PX378137,NA-NA,NA,0-690,1,682-859,1
PX378136,NA-NA,NA,0-312,1,304-676,1
PX378135,NA-NA,NA,0-312,1,304-676,1
PX378134,NA-NA,NA,0-312,1,304-676,1
PX378133,NA-NA,NA,0-312,1,304-676,1
PX378132,NA-NA,NA,0-312,1,304-676,1
PX378131,NA-NA,NA,0-312,1,304-649,1
PV211181,NA-NA,NA,NA-NA,NA,0-420,1
PV211180,NA-NA,NA,NA-NA,NA,0-420,1
PV211179,NA-NA,NA,NA-NA,NA,0-424,1
PV211178,NA-NA,NA,NA-NA,NA,0-442,1
PV211177,NA-NA,NA,NA-NA,NA,0-423,1
PV211176,NA-NA,NA,NA-NA,NA,0-422,1
PX236818,101-2582,1,2596-4108,1,3983-6215,1
PX236817,18-2475,1,2489-3986,1,3876-5446,1
PX255451,75-2853,1,3233-4340,1,4332-6681,1
PX255450,62-2822,1,3202-4309,1,4301-6638,1
PX255449,20-2822,1,3202-4309,1,4121-6653,1
PX255448,84-2886,1,3266-4373,1,4185-6675,1
PX255447,81-2766,1,2780-4253,1,4245-6207,1
PX255446,84-2886,1,3266-4373,1,4365-6729,1
PX289198,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX289197,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX289196,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951098,48-807,1,806-2387,1,2424-3177,1
OR951097,305-2255,1,2254-3832,1,3812-6008,1
OR951096,NA-NA,NA,241-1608,1,NA-NA,NA
OR951095,NA-NA,NA,0-1371,1,NA-NA,NA
OR951094,NA-NA,NA,468-1701,1,NA-NA,NA
OR951093,NA-NA,NA,0-960,1,NA-NA,NA
OR951092,NA-NA,NA,85-901,1,NA-NA,NA
OR951091,NA-NA,NA,162-1107,1,NA-NA,NA
OR951090,NA-NA,NA,116-1718,1,NA-NA,NA
OR951089,NA-NA,NA,260-1539,1,NA-NA,NA
OR951088,NA-NA,NA,185-1754,1,1772-3737,1
OR951087,390-2625,1,2624-4205,1,4188-6510,1
OR951086,0-1615,1,1614-3192,1,3133-4824,1
OR951085,1-1090,1,NA-NA,NA,NA-NA,NA
OR951084,NA-NA,NA,338-1589,1,NA-NA,NA
OR951083,NA-NA,NA,19-1056,1,NA-NA,NA
OR951082,61-2527,1,2526-4095,1,4113-6324,1
OR951081,0-1842,1,1853-3380,1,NA-NA,NA
OR951080,37-2707,1,2718-4293,1,4093-6523,1
OR951079,31-2635,1,2646-4218,1,4159-6535,1
OR951078,NA-NA,NA,37-877,1,NA-NA,NA
OR951077,NA-NA,NA,85-1256,1,NA-NA,NA
OR951076,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951075,NA-NA,NA,89-1646,1,1648-3781,1
OR951074,161-2774,1,2773-4375,1,4319-6512,1
OR951073,NA-NA,NA,361-1940,1,NA-NA,NA
OR951072,278-2219,1,2197-3658,1,NA-NA,NA
OR951071,NA-NA,NA,2-1484,1,NA-NA,NA
OR951070,NA-NA,NA,31-918,1,NA-NA,NA
OR951069,NA-NA,NA,215-1650,1,NA-NA,NA
OR951068,22-1853,1,1854-3355,1,3358-5687,1
OR951067,NA-NA,NA,97-1330,1,NA-NA,NA
OR951066,NA-NA,NA,0-996,1,NA-NA,NA
OR951065,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951064,NA-NA,NA,483-1265,1,NA-NA,NA
OR951063,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951062,NA-NA,NA,0-1080,1,NA-NA,NA
OR951061,NA-NA,NA,38-1015,1,NA-NA,NA
OR951060,180-1992,1,1991-3485,1,NA-NA,NA
OR951059,262-2473,1,2472-4050,1,NA-NA,NA
OR951058,164-2384,1,2383-3624,1,NA-NA,NA
OR951057,NA-NA,NA,95-1372,1,NA-NA,NA
OR951056,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951055,40-2623,1,2622-4224,1,4168-6142,1
OR951054,NA-NA,NA,47-672,1,NA-NA,NA
OR951053,205-3574,1,3585-5022,1,4963-7009,1
OR951052,29-2350,1,2320-3892,1,NA-NA,NA
OR951051,NA-NA,NA,2-1091,1,NA-NA,NA
OR951050,NA-NA,NA,108-1441,1,NA-NA,NA
OR951049,142-2237,1,2238-3838,1,3784-5987,1
OR951048,2-2434,1,2435-4035,1,4029-4347,1
OR951047,2-888,1,889-2156,1,2433-4624,1
OR951046,NA-NA,NA,1-1204,1,NA-NA,NA
OR951045,217-2820,1,2820-4370,1,4383-5114,1
OR951044,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951043,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951042,120-2573,1,2573-4183,1,NA-NA,NA
OR951041,NA-NA,NA,180-1790,1,1799-3922,1
OR951040,198-2114,1,2114-3625,1,3657-4383,1
OR951039,NA-NA,NA,29-1278,1,NA-NA,NA
OR951038,NA-NA,NA,272-1882,1,1891-4014,1
OR951037,275-2225,1,NA-NA,NA,NA-NA,NA
OR951036,179-2651,1,2650-4261,1,4269-6393,1
OR951035,NA-NA,NA,44-1655,1,1663-3557,1
OR951034,404-2312,1,2311-3901,1,3881-5439,1
OR951033,162-2085,1,2084-3274,1,NA-NA,NA
OR951032,19-2539,1,2538-4149,1,4157-6281,1
OR951031,NA-NA,NA,37-1081,1,NA-NA,NA
OR951030,182-2105,1,2104-3040,1,3659-5858,1
OR951029,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951028,NA-NA,NA,266-1877,1,1885-4009,1
OR951027,122-2681,1,2680-4225,1,4231-6451,1
OR951026,87-2685,1,2684-4247,1,4246-6427,1
OR951025,92-2651,1,2650-4195,1,4201-6421,1
OR951024,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951023,137-2504,1,2503-4060,1,4063-6011,1
OR951022,126-2667,1,2666-4223,1,4226-6384,1
OR951021,107-2648,1,2647-4204,1,4207-6352,1
OR951020,NA-NA,NA,64-1405,1,NA-NA,NA
OR951019,NA-NA,NA,0-845,1,NA-NA,NA
OR951018,NA-NA,NA,0-987,1,999-1236,1
OR951017,0-1587,1,1586-3131,1,NA-NA,NA
OR951016,0-1855,1,1854-3423,1,3415-5782,1
OR951015,NA-NA,NA,139-1681,1,NA-NA,NA
OR951014,0-1850,1,1849-3427,1,NA-NA,NA
OR951013,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951012,NA-NA,NA,128-1394,1,NA-NA,NA
OR951011,NA-NA,NA,0-1302,1,NA-NA,NA
OR951010,110-1796,1,1792-3352,1,NA-NA,NA
OR951009,NA-NA,NA,190-707,1,NA-NA,NA
OR951008,NA-NA,NA,125-878,1,NA-NA,NA
OR951007,NA-NA,NA,430-1951,1,NA-NA,NA
PX280286,NA-NA,NA,NA-NA,NA,18-2222,1
PX237220,NA-NA,NA,NA-NA,NA,0-2025,1
PX237222,86-3098,1,3091-4618,1,4636-6682,1
PX237221,NA-NA,NA,NA-NA,NA,0-2022,1
PX148103,NA-NA,NA,0-99,1,91-171,1
PX132666,NA-NA,NA,2-284,1,276-767,1
PX132665,NA-NA,NA,2-284,1,276-767,1
PX132664,NA-NA,NA,1-262,1,254-749,1
PP239060,NA-NA,NA,0-1149,1,1177-3316,1
PX171445,NA-NA,NA,0-147,1,NA-NA,NA
MW826416,5-2636,1,2917-4120,1,3929-6974,1
PX146716,NA-NA,NA,NA-NA,NA,16-2233,1
PX095946,2947-3691,-1,1473-2925,-1,0-1493,-1
PX095874,NA-NA,NA,2209-2893,-1,657-2145,-1
PX095873,NA-NA,NA,0-812,-1,NA-NA,NA
PX095817,NA-NA,NA,NA-NA,NA,171-2142,-1
PX095816,NA-NA,NA,3076-4576,-1,85-3082,-1
PX095815,NA-NA,NA,34-592,-1,NA-NA,NA
PX095814,NA-NA,NA,0-582,1,NA-NA,NA
PX095800,2-2570,1,2587-4090,1,4028-6362,1
PX095793,4451-7190,-1,NA-NA,NA,98-2966,-1
PX095754,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX095750,NA-NA,NA,2807-4271,1,4263-7398,1
PX095749,0-2832,1,3002-4364,1,4353-6936,1
PX095698,NA-NA,NA,2-494,1,523-2743,1
PX095697,NA-NA,NA,2-677,-1,NA-NA,NA
PX095696,NA-NA,NA,136-692,-1,NA-NA,NA
PX095695,846-2862,-1,NA-NA,NA,NA-NA,NA
PX113257,NA-NA,NA,NA-NA,NA,295-749,1
PX113256,NA-NA,NA,NA-NA,NA,24-691,1
PX113255,2-872,1,NA-NA,NA,NA-NA,NA
PX113254,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX113253,24-2604,1,2489-4076,1,3930-6374,1
PX113252,1-2704,1,NA-NA,NA,4021-6367,1
PX113251,6-2496,1,NA-NA,NA,3846-6234,1
PV067282,NA-NA,NA,NA-NA,NA,0-368,1
PV999259,NA-NA,NA,NA-NA,NA,0-132,1
PV999258,NA-NA,NA,0-1206,1,1224-1530,1
PV999257,NA-NA,NA,1-1296,1,NA-NA,NA
PV999256,NA-NA,NA,1-274,1,263-358,1
PV999255,0-348,1,359-1072,1,NA-NA,NA
PV979748,3978-6204,-1,2479-3898,-1,NA-NA,NA
PV979747,7-2317,1,2262-3966,1,3760-4302,1
PV987765,18-2460,1,2432-3923,1,3915-6201,1
PP980351,NA-NA,NA,0-726,1,538-3055,1
PP980350,2-2672,1,2623-4159,1,3971-6500,1
PP980349,NA-NA,NA,0-726,1,538-3034,1
PP980348,NA-NA,NA,0-726,1,538-3034,1
PP980347,NA-NA,NA,0-726,1,538-3034,1
PP980346,NA-NA,NA,0-726,1,538-3034,1
PP980345,NA-NA,NA,0-726,1,538-3034,1
PP980344,2-2672,1,2623-4159,1,3971-6467,1
PP980343,NA-NA,NA,0-726,1,538-3016,1
PP980342,NA-NA,NA,0-726,1,538-3034,1
PP980341,NA-NA,NA,0-726,1,538-3034,1
PP980340,NA-NA,NA,0-726,1,538-3034,1
PP980339,NA-NA,NA,0-726,1,538-3034,1
PV983331,NA-NA,NA,0-810,-1,NA-NA,NA
PV793827,100-3406,1,3390-4938,1,4931-7178,1
PV793829,42-3228,1,3230-4757,1,4683-6879,1
PV793828,NA-NA,NA,3495-5046,1,4924-7243,1
PV793826,70-3358,1,3342-4896,1,4889-7124,1
PV793833,NA-NA,NA,1600-2992,1,NA-NA,NA
PV793832,NA-NA,NA,284-1823,1,NA-NA,NA
PV793831,NA-NA,NA,2297-3905,1,NA-NA,NA
PV793830,NA-NA,NA,566-2120,1,NA-NA,NA
PV880246,NA-NA,NA,NA-NA,NA,0-405,1
PV880245,NA-NA,NA,NA-NA,NA,0-435,1
PV880244,125-2612,1,2566-3790,1,NA-NA,NA
PV880243,0-396,1,353-1868,1,1857-4104,1
PV880242,NA-NA,NA,NA-NA,NA,0-1167,1
PV880241,NA-NA,NA,NA-NA,NA,0-561,1
PV880240,NA-NA,NA,NA-NA,NA,0-2064,1
PV880239,0-1977,1,1931-2403,1,NA-NA,NA
PV880238,0-87,1,41-1550,1,1542-3804,1
PQ421854,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421853,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421852,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421851,NA-NA,NA,NA-NA,NA,NA-NA,NA
PQ421850,NA-NA,NA,2832-4341,1,NA-NA,NA
